Day-order,DJI.Low,DJI.Adjusted,oil_Close,gold_Low,BTC_USD_Open,BTC_USD_Close,dollar2euro_Close
1,28319.65039,28399.81055,50.110001,18.09,9346.357422,9392.875,0.90173
2,28319.65039,28399.81055,50.110001,18.09,9389.820313,9344.365234,0.90173
3,28319.65039,28399.81055,50.110001,18.09,9344.683594,9293.521484,0.90173
4,28696.74023,28807.63086,49.610001,17.629999,9292.841797,9180.962891,0.90392
5,29000.84961,29290.84961,50.75,17.959999,9183.416016,9613.423828,0.9052
6,29246.92969,29379.76953,50.950001,18.049999,9617.821289,9729.801758,0.9089
7,29056.98047,29102.50977,50.32,18.08,9726.00293,9795.943359,0.9105
8,28995.66016,29276.82031,49.57,18.16,9793.070313,9865.119141,0.9133
9,28995.66016,29276.82031,49.57,18.16,9863.894531,10116.67383,0.9133
10,28995.66016,29276.82031,49.57,18.16,10115.55957,9856.611328,0.9133
11,29210.4707,29276.33984,49.939999,18.26,9855.891602,10208.23633,0.9163
12,29406.75,29551.41992,51.169998,18.200001,10202.3877,10326.05469,0.9158
13,29345.92969,29423.31055,51.419998,18.549999,10323.96094,10214.37988,0.91946
14,29283.17969,29398.08008,52.049999,18.93,10211.55078,10312.11621,0.922
15,29116.81055,29232.18945,52.049999,19.75,10313.85645,9889.424805,0.92236
